Datetime,Pressure,Solar_Radiation,Temperature,Dew_Point,Humidity,Wind_Direction,Wind_Gust,Wind_Speed,Rain
2019-03-26 20:00:00,-1.272864664453117,0.48218598841372146,1.4819283229193294,-0.3196765217637765,-1.3273195705805558,-0.9182746223476748,0.011765982276081414,0.013293518994226079,0
2019-03-26 21:00:00,-1.3047149746279771,0.09475230083165773,1.446583013628718,-1.116652251390717,-1.6130224415983783,-0.7459135142492241,0.5302525752288977,0.9795780245891214,0
2019-03-26 22:00:00,-1.0817628034040274,-0.5315103722461987,0.3508784256197833,-0.02986716553579597,-0.39878523977263275,-1.3168596848253418,0.22780206267308814,-0.7114198602019449,0
2019-03-26 23:00:00,-0.7951100118303207,-0.8435802466273679,0.280187807038562,0.11503751257819299,-0.32735952201817714,-0.9721374686284405,0.4438381430700949,1.1003635877884828,0
2019-03-27 00:00:00,-0.5403075304315106,-0.8457031709428859,0.10346126058550804,-0.02986716553579597,-0.1845080865092659,-0.9398197608599811,0.4438381430700949,-0.10749204420513563,0
2019-03-27 01:00:00,-0.34920566938238484,-0.8457031709428859,-0.0025746672863245553,-0.10231950459279174,-0.1845080865092659,-0.7566860835053774,-0.2906845302797279,-0.10749204420513563,0
2019-03-27 02:00:00,-0.18995411850811944,-0.8457031709428859,-0.1793012137393785,-0.2472241827067807,-0.04165665100035465,-0.670505529456152,-0.2906845302797279,-0.2282776074044976,0
2019-03-27 03:00:00,-0.15810380833325913,-0.8457031709428859,-0.2499918323205998,-0.3196765217637765,-0.04165665100035465,-0.735140944993071,0.0549731983554828,0.013293518994226079,0
2019-03-27 04:00:00,-0.0944031879835747,-0.8457031709428859,-0.35602776019243243,-0.4645811998777654,-0.04165665100035465,-0.8751843453230621,0.09818041443488418,0.25486464539295,0
2019-03-27 05:00:00,-0.18995411850811944,-0.8457031709428859,-0.5327543066454863,-0.3196765217637765,0.24404622001746784,-0.8859569145792152,0.011765982276081414,-0.2282776074044976,0
2019-03-27 06:00:00,-0.2855050490327004,-0.8457031709428859,-0.49740899735487504,-0.2472241827067807,0.24404622001746784,-0.59509754466308,-0.2906845302797279,0.37565020859231174,0
2019-03-27 07:00:00,-0.3173553592075245,-0.8457031709428859,-0.7448261623891503,-0.17477184364978493,0.5297490910352903,-0.7782312220176837,-0.2906845302797279,-0.4698487338032213,0
2019-03-27 08:00:00,-0.2855050490327004,-0.8457031709428859,-0.7094808530985403,-0.02986716553579597,0.5297490910352903,-0.735140944993071,-0.03144123380331978,0.013293518994226079,0
